marca,modelo,año,estado,kilometraje,motor,placa,cv,peso_kg,transmisión,precio_cop
Toyota,Corolla,2018,disponible,45000,1.8,ABC123,140,1250.0,manual,52000000
Honda,Civic,2020,vendido,20000,1.5,DEF456,158,1300.0,automatica,68000000
Ford,Fiesta,2017,taller,60000,1.6,GHI789,120,1100.0,manual,38000000
Chevrolet,Spark,2019,disponible,30000,1.0,JKL012,75,950.0,manual,28000000
Nissan,Sentra,2021,disponible,15000,1.8,MNO345,130,1350.0,automatica,72000000
Hyundai,Tucson,2016,vendido,80000,2.0,PQR678,155,1500.0,automatica,55000000
Kia,Picanto,2020,disponible,25000,1.0,STU901,69,950.0,manual,29000000
Volkswagen,Golf,2018,taller,55000,1.6,VWX234,110,1300.0,manual,48000000
Toyota,Yaris,2019,disponible,35000,1.5,YZA567,106,1050.0,manual,42000000
Honda,Fit,2017,vendido,70000,1.3,BCD890,99,1100.0,automatica,36000000
Ford,EcoSport,2020,disponible,18000,2.0,EFG123,125,1450.0,automatica,65000000
Chevrolet,Onix,2021,disponible,12000,1.0,HIJ456,75,1050.0,manual,45000000
Nissan,March,2010,taller,90000,1.6,KLM789,107,1070.0,manual,27000000
Hyundai,Elantra,2018,disponible,70000,1.8,NOP012,150,1350.0,automatica,58000000
Kia,Rio,2022,vendido,8000,1.0,QRS345,84,1100.0,manual,51000000
Volkswagen,Polo,2017,disponible,65000,1.6,TUV678,110,1200.0,manual,41000000
Toyota,Camry,2020,taller,40000,2.0,WXY901,203,1500.0,automatica,85000000
Honda,HR-V,2019,disponible,28000,1.8,ZAB234,141,1400.0,automatica,70000000
Ford,Mustang,2016,vendido,55000,2.0,CDE567,290,1570.0,manual,88000000
Chevrolet,Cruze,2021,disponible,15000,1.6,FGH890,153,1400.0,automatica,67000000
Nissan,Versa,2018,disponible,48000,1.6,IJK123,114,1200.0,manual,39000000
Hyundai,Accent,2020,taller,22000,1.6,LMN456,123,1195.0,manual,46000000
Kia,Cerato,2019,disponible,32000,1.6,OPQ789,128,1400.0,automatica,60000000
Volkswagen,Jetta,2017,vendido,75000,1.8,RST012,170,1400.0,automatica,50000000
Toyota,RAV4,2021,disponible,10000,2.0,UVW345,203,1600.0,automatica,90000000
Honda,CR-V,2018,disponible,42000,1.5,XYZ678,193,1500.0,automatica,75000000
Ford,Explorer,2020,vendido,30000,2.0,ABC901,365,2000.0,automatica,87000000
Chevrolet,Tracker,2019,taller,50000,1.2,DEF234,100,1280.0,manual,43000000
Nissan,Kicks,2021,disponible,100000,1.6,GHI567,122,1300.0,automatica,62000000
Hyundai,Creta,2022,disponible,5000,1.6,JKL890,123,1300.0,automatica,69000000
Kia,Sportage,2018,vendido,60000,2.0,MNO123,185,1700.0,automatica,72000000
Volkswagen,Tiguan,2020,disponible,25000,1.5,PQR456,150,1600.0,automatica,83000000
Toyota,Fortuner,2017,taller,85000,2.0,STU789,163,2060.0,automatica,77000000
Honda,Accord,2019,disponible,38000,1.5,VWX012,192,1500.0,automatica,78000000
Ford,Escape,2021,disponible,18000,1.5,YZA345,180,1600.0,automatica,76000000
Chevrolet,Equinox,2018,disponible,55000,1.5,BCD678,170,1600.0,automatica,65000000
Nissan,X-Trail,2020,vendido,28000,2.0,EFG901,145,1700.0,automatica,80000000
Hyundai,Santa Fe,2016,disponible,95000,2.0,HIJ234,186,1800.0,automatica,58000000
Kia,Sorento,2010,taller,70000,2.0,KLM567,185,1795.0,automatica,70000000
Volkswagen,Passat,2019,disponible,45000,1.8,NOP890,177,1500.0,automatica,72000000
Toyota,Land Cruiser,2022,disponible,6000,2.0,QRS123,309,2200.0,automatica,
Honda,Pilot,2018,vendido,52000,2.0,TUV456,280,1900.0,automatica,85000000
Ford,F-150,2020,disponible,35000,2.0,WXY789,400,2000.0,automatica,88000000
Chevrolet,Silverado,2017,taller,80000,2.0,ZAB012,355,2100.0,automatica,80000000
Nissan,Frontier,2021,disponible,20000,2.0,CDE345,152,1900.0,manual,75000000
Hyundai,Palisade,2022,vendido,9000,2.0,FGH678,191,1900.0,automatica,90000000
Kia,Telluride,2020,disponible,22000,2.0,IJK901,291,1900.0,automatica,88000000
Volkswagen,Touareg,2018,taller,65000,2.0,LMN234,231,2000.0,automatica,82000000
Toyota,Corolla,2019,disponible,40000,1.8,OPQ567,140,1250.0,manual,50000000
Honda,Civic,2021,vendido,15000,1.5,RST890,158,1300.0,automatica,72000000
Ford,Fiesta,2016,disponible,75000,1.6,UVW123,120,1100.0,manual,35000000
Chevrolet,Spark,2020,taller,30000,1.0,XYZ456,75,950.0,manual,27000000
Nissan,Sentra,2019,disponible,42000,1.8,ABC789,130,1350.0,automatica,55000000
Hyundai,Tucson,2021,disponible,18000,2.0,DEF012,155,1500.0,automatica,73000000
Kia,Picanto,2018,vendido,55000,1.0,GHI345,69,950.0,manual,26000000
Volkswagen,Golf,2020,disponible,25000,1.6,JKL678,110,1300.0,automatica,52000000
Toyota,Yaris,2017,taller,80000,1.5,MNO901,106,1050.0,manual,38000000
Honda,Fit,2022,disponible,7000,1.3,PQR234,99,1100.0,manual,40000000
Ford,EcoSport,2019,disponible,35000,2.0,STU567,125,1450.0,automatica,60000000
Chevrolet,Onix,2018,vendido,60000,1.0,VWX890,75,1050.0,manual,32000000
Nissan,March,2021,disponible,12000,1.6,YZA123,107,1070.0,manual,35000000
Hyundai,Elantra,2020,taller,28000,1.8,BCD456,150,1350.0,automatica,60000000
Kia,Rio,2017,disponible,70000,1.0,EFG789,84,1100.0,manual,30000000
Volkswagen,Polo,2019,vendido,45000,1.6,HIJ012,110,1200.0,manual,44000000
Toyota,Camry,2021,disponible,14000,2.0,KLM345,203,1500.0,automatica,88000000
Honda,HR-V,2018,disponible,58000,1.8,NOP678,141,1400.0,automatica,65000000
Ford,Mustang,2022,disponible,5000,2.0,QRS901,290,1570.0,manual,90000000
Chevrolet,Cruze,2019,taller,50000,1.6,TUV234,153,1400.0,automatica,58000000
Nissan,Versa,2021,disponible,16000,1.6,WXY567,114,1200.0,manual,42000000
Hyundai,Accent,2016,vendido,90000,1.6,ZAB890,123,1195.0,manual,28000000
Kia,Cerato,2020,disponible,30000,1.6,CDE123,128,1400.0,automatica,62000000
Volkswagen,Jetta,2018,taller,55000,1.8,FGH456,170,1400.0,automatica,55000000
Toyota,RAV4,2022,disponible,8000,2.0,IJK789,203,1600.0,automatica,89000000
Honda,CR-V,2020,vendido,32000,1.5,LMN012,193,1500.0,automatica,78000000
Ford,Explorer,2017,disponible,85000,2.0,OPQ345,365,2000.0,automatica,70000000
Chevrolet,Tracker,2021,disponible,20000,1.2,RST678,100,1280.0,manual,48000000
Nissan,Kicks,2019,taller,48000,1.6,UVW901,122,1300.0,automatica,55000000
Hyundai,Creta,2020,vendido,35000,1.6,XYZ234,123,1300.0,automatica,62000000
Kia,Sportage,2022,disponible,6000,2.0,ABC567,185,1700.0,automatica,80000000
Volkswagen,Tiguan,2019,disponible,40000,1.5,DEF890,150,1600.0,automatica,78000000
Toyota,Fortuner,2021,taller,22000,2.0,GHI123,163,2060.0,automatica,85000000
Honda,Accord,2018,disponible,60000,1.5,JKL456,192,1500.0,automatica,70000000
Ford,Escape,2020,vendido,28000,1.5,MNO789,180,1600.0,automatica,74000000
Chevrolet,Equinox,2022,disponible,10000,1.5,PQR012,170,1600.0,automatica,72000000
Nissan,X-Trail,2019,taller,52000,2.0,STU345,145,1700.0,automatica,68000000
Hyundai,Santa Fe,2021,disponible,18000,2.0,VWX678,186,1800.0,automatica,82000000
Kia,Sorento,2020,vendido,35000,2.0,YZA901,185,1795.0,automatica,75000000
Volkswagen,Passat,2017,disponible,78000,1.8,BCD234,177,1500.0,automatica,50000000
Toyota,Land Cruiser,2019,taller,48000,2.0,EFG567,309,2200.0,automatica,40000000
Honda,Pilot,2022,disponible,7000,2.0,HIJ890,280,1900.0,automatica,90000000
Ford,F-150,2018,vendido,65000,2.0,KLM123,400,2000.0,manual,75000000
Chevrolet,Silverado,2020,disponible,30000,2.0,NOP456,355,2100.0,automatica,85000000
Nissan,Frontier,2019,taller,55000,2.0,QRS789,152,1900.0,manual,60000000
Hyundai,Palisade,2021,disponible,15000,2.0,ABC123,191,1900.0,automatica,88000000
Kia,Telluride,2019,vendido,42000,2.0,,120,1900.0,automatica,45000000
Volkswagen,Touareg,2021,disponible,20000,2.0,WXY012,231,1200.0,automatica,30000000
Toyota,Hilux,2020,disponible,38000,2.0,ZAB345,177,1900.0,manual,68000000
Honda,Odyssey,2017,vendido,72000,2.0,CDE678,212,2000.0,automatica,62000000
Ford,Ranger,2022,disponible,9000,2.0,EFG901,213,1900.0,manual,79000000
